source,comparison,feature,MWW_pval,MWW_qval,FC,Log2FC,Log10FC,diffmean,source_true_summary,source_false_summary
Feed,Local RUSF (A)_vs_ERUSF (B),comp_cookies.ruti.bread,0.7305515045505253,,0.9792633233256154,-0.030231243051617115,-0.00910051096474506,-0.0009738967471787374,0.05 ± 0.07,0.05 ± 0.07
Feed,Local RUSF (A)_vs_ERUSF (B),comp_halwa,0.3819047530338756,,0.3049510618706129,-1.7133503553639509,-0.5157698500460908,-0.0005281676723029823,0.0 ± 0.0,0.0 ± 0.0
Feed,Local RUSF (A)_vs_ERUSF (B),comp_khichuri,0.733113591358207,,0.7886477138640812,-0.3425470975119928,-0.10311695127874453,-0.008961415808222427,0.03 ± 0.06,0.04 ± 0.09
Feed,Local RUSF (A)_vs_ERUSF (B),comp_none,0.08399051002114004,,0.6459720721290938,-0.6304563019059686,-0.18978625782908334,-0.00867170575596719,0.02 ± 0.06,0.02 ± 0.06
Feed,Local RUSF (A)_vs_ERUSF (B),comp_others,0.05306899431981245,,1.1843148877676353,0.24405271831663186,0.07346718873663852,0.008484837366991932,0.05 ± 0.12,0.05 ± 0.13
Feed,Local RUSF (A)_vs_ERUSF (B),comp_rice.and.curry,0.7166118339762861,,1.0615985436538575,0.08623829667153643,0.02596031407310173,0.04139996338877161,0.71 ± 0.26,0.67 ± 0.31
Feed,Local RUSF (A)_vs_ERUSF (B),comp_suji,0.9111895090052251,,0.800680029561897,-0.32070227171532084,-0.09654100346389194,-0.032883724658382935,0.13 ± 0.23,0.16 ± 0.26
Feed,Local RUSF (A)_vs_ERUSF (B),comp_tea.drinks.juice,0.1473094246262457,,1.9388479972468826,0.955199702767014,0.28754376238219037,0.0021341098862908657,0.0 ± 0.02,0.0 ± 0.01
Feed,Local RUSF (A)_vs_ERUSF (B),cough,0.16337457295633007,,1.227634372328119,0.29588094525810776,0.08906903966810284,0.008755635743236845,0.05 ± 0.05,0.04 ± 0.05
Feed,Local RUSF (A)_vs_ERUSF (B),days_to_recovery,,,1.2058457711442785,0.27004539692786367,0.08129176466627289,9.735294117647058,57.03 ± 20.41,47.29 ± 21.77
Feed,Local RUSF (A)_vs_ERUSF (B),diarrhoea,0.506655682363228,,0.6922340425799862,-0.5306682030030886,-0.15974704684903246,-0.010333582137988826,0.02 ± 0.06,0.03 ± 0.06
Feed,Local RUSF (A)_vs_ERUSF (B),fail_child.is.sick,0.16467822359974227,,1.3074652127704607,0.38677256174472546,0.1164301425849616,0.0016696138918810858,0.01 ± 0.02,0.01 ± 0.02
Feed,Local RUSF (A)_vs_ERUSF (B),fail_child.or.parents.not.at.home,0.1665076247151719,,0.8011816075364318,-0.31979879283378576,-0.09626902922010096,-0.00645521097803288,0.03 ± 0.09,0.03 ± 0.06
Feed,Local RUSF (A)_vs_ERUSF (B),fail_child.refused.to.take,0.7299554461418181,,0.8083892346140982,-0.3068779855302637,-0.09237947865354655,-0.0031848098257613675,0.01 ± 0.04,0.02 ± 0.04
Feed,Local RUSF (A)_vs_ERUSF (B),fail_child.vomiting,0.04842221972364613,,inf,inf,inf,0.0008228488822474363,0.0 ± 0.0,0.0 ± 0.0
Feed,Local RUSF (A)_vs_ERUSF (B),fail_no.failure,0.3270081539782683,,1.023311283863063,0.03324506920251425,0.010007763037881619,0.02166497803386669,0.95 ± 0.1,0.93 ± 0.13
Feed,Local RUSF (A)_vs_ERUSF (B),fail_other,0.22405126991579394,,0.29634499507900053,-1.754650402611057,-0.5282024030898094,-0.0008195377959932075,0.0 ± 0.0,0.0 ± 0.01
Feed,Local RUSF (A)_vs_ERUSF (B),fail_parents.refused.to.feed,0.056300123669289694,,0.08305681369340696,-3.589757663026394,-1.0806247337355788,-0.013697882208208056,0.0 ± 0.01,0.01 ± 0.08
Feed,Local RUSF (A)_vs_ERUSF (B),fever,0.6400919293213587,,1.49487554994523,0.5800253834533169,0.174605038665951,0.00021891331996820037,0.0 ± 0.0,0.0 ± 0.0
Feed,Local RUSF (A)_vs_ERUSF (B),ors,0.5691907575025485,,1.0343095850769006,0.048668071538534925,0.014650549364219495,0.00029691657794588683,0.01 ± 0.01,0.01 ± 0.01
Feed,Local RUSF (A)_vs_ERUSF (B),rash,0.9822933648598237,,3.2940116624684896,1.7198456629439487,0.5177251324587337,0.003221110026679187,0.0 ± 0.02,0.0 ± 0.0
Feed,Local RUSF (A)_vs_ERUSF (B),zinc,0.13173802158056747,,1.7174904071859234,0.7803020410847461,0.23489432004433677,0.0014828810253300151,0.0 ± 0.01,0.0 ± 0.01
Recovery,No recovery_vs_Recovered,antibiotic,0.11644362220078146,,1.4009426789361865,0.486397927570092,0.14642036602739422,0.014118075522790034,0.05 ± 0.05,0.04 ± 0.03
Recovery,No recovery_vs_Recovered,base_temp,0.14607914975731723,,1.0017857142857145,0.002573943663826701,0.0007748342499610837,0.06461038961039378,36.25 ± 0.24,36.18 ± 0.21
Recovery,No recovery_vs_Recovered,comp_cookies.ruti.bread,0.026952540076372926,,1.1262624126617582,0.17154300622694366,0.05163959042068314,0.005516277197754535,0.05 ± 0.06,0.04 ± 0.08
Recovery,No recovery_vs_Recovered,comp_halwa,0.166726484679926,,17.5480922008051,4.133242286554022,1.244229907599541,0.0007959640308227375,0.0 ± 0.0,0.0 ± 0.0
Recovery,No recovery_vs_Recovered,comp_khichuri,0.0005937703504161803,,1.9025516573555954,0.9279356257650813,0.2793364574005161,0.02281499280429974,0.05 ± 0.09,0.03 ± 0.06
Recovery,No recovery_vs_Recovered,comp_none,0.09030146258822395,,2.7697291519833342,1.4697449040017696,0.44243730207881116,0.017960165674170483,0.03 ± 0.07,0.01 ± 0.03
Recovery,No recovery_vs_Recovered,comp_others,0.9138353960548469,,0.7288931894151776,-0.4562206745613282,-0.1373361076850152,-0.01620443193925932,0.04 ± 0.09,0.06 ± 0.16
Recovery,No recovery_vs_Recovered,comp_rice.and.curry,0.2847189395043369,,0.9916520156243845,-0.01209414706580502,-0.003640701038778836,-0.005797121433260166,0.69 ± 0.27,0.69 ± 0.31
Recovery,No recovery_vs_Recovered,comp_suji,0.5750802883440336,,0.8204753928123332,-0.2854680289118951,-0.08593443950555303,-0.029778678320986407,0.14 ± 0.22,0.17 ± 0.28
Recovery,No recovery_vs_Recovered,comp_tea.drinks.juice,0.002011251923690747,,7.20914671466229,2.8498285100381358,0.85788386401987,0.004692831986458336,0.01 ± 0.02,0.0 ± 0.0
Recovery,No recovery_vs_Recovered,cough,0.15545353910624957,,1.2160434760872783,0.2821948090563883,0.08494910214664256,0.008328597343967375,0.05 ± 0.05,0.04 ± 0.05
Recovery,No recovery_vs_Recovered,days_to_recovery,,,1.4675284702985534,0.5533884921326782,0.1665865353871972,23.734375,74.5 ± 19.21,50.77 ± 20.99
Recovery,No recovery_vs_Recovered,diarrhoea,0.42337646464916523,,1.7637604196657843,0.8186546057740641,0.24643959242646477,0.015243783423054345,0.04 ± 0.07,0.02 ± 0.03
Recovery,No recovery_vs_Recovered,fail_child.is.sick,0.05413863493086618,,1.6814895532448408,0.7497398157192806,0.2256941734750891,0.003119070966050746,0.01 ± 0.02,0.0 ± 0.01
Recovery,No recovery_vs_Recovered,fail_child.or.parents.not.at.home,0.035774821910065285,,2.2622322542421376,1.1777470526002898,0.3545371901375319,0.018661996352638772,0.03 ± 0.07,0.01 ± 0.04
Recovery,No recovery_vs_Recovered,fail_child.refused.to.take,0.057230205691486624,,3.914382818692961,1.9687848555105938,0.5926632965176659,0.01665429881180213,0.02 ± 0.05,0.01 ± 0.01
Recovery,No recovery_vs_Recovered,fail_child.vomiting,0.4474324386453451,,2.2609659856950817,1.1769392881362584,0.35429402880442695,0.0003121821117288269,0.0 ± 0.0,0.0 ± 0.0
Recovery,No recovery_vs_Recovered,fail_no.failure,0.0014770998174736115,,0.9456319788110106,-0.08064927035758156,-0.02427784950604602,-0.05294736526988697,0.92 ± 0.13,0.97 ± 0.04
Recovery,No recovery_vs_Recovered,fail_other,0.938070563571739,,1.6807147153356938,0.7490748621712437,0.2254940025114068,0.00037049732851329937,0.0 ± 0.01,0.0 ± 0.0
Recovery,No recovery_vs_Recovered,fail_parents.refused.to.feed,0.14299854950480795,,53.73732161645079,5.747852511010311,1.7302760164666373,0.013829319699153362,0.01 ± 0.08,0.0 ± 0.0
Recovery,No recovery_vs_Recovered,fever,0.6514143107749872,,1.3670591438470414,0.4510756604194918,0.13578730410020706,0.00016980035623944827,0.0 ± 0.0,0.0 ± 0.0
Recovery,No recovery_vs_Recovered,ors,0.5082218310807561,,1.0889761920639245,0.12297241322215466,0.037018385019054516,0.0007512654739680793,0.01 ± 0.01,0.01 ± 0.01
Recovery,No recovery_vs_Recovered,rash,0.0935929010567194,,0.151985096575438,-2.7179982327372887,-0.8181989962156145,-0.004952973035294134,0.0 ± 0.0,0.01 ± 0.02
Recovery,No recovery_vs_Recovered,zinc,0.8936502042551517,,1.0561360958315407,0.0787957552740305,0.02371988586848153,0.00015466281741307415,0.0 ± 0.01,0.0 ± 0.01
Delivery_Mode,Caesarean_vs_Vaginal,antibiotic,0.8275390836410056,,0.9484565806308247,-0.07634636483773219,-0.022982545876063246,-0.0022484248224391157,0.04 ± 0.04,0.04 ± 0.05
Delivery_Mode,Caesarean_vs_Vaginal,base_temp,0.8121126162756852,,1.0001461888047019,0.00021089044904106703,6.348435096040745e-05,0.005294570658449516,36.22 ± 0.23,36.22 ± 0.23
Delivery_Mode,Caesarean_vs_Vaginal,comp_cookies.ruti.bread,0.16542471326551123,,1.3378212046405766,0.41988531746330665,0.12639807529534855,0.014033936393938254,0.06 ± 0.08,0.04 ± 0.07
Delivery_Mode,Caesarean_vs_Vaginal,comp_halwa,0.9586564805141251,,2.0404529337802186,1.0288894329753318,0.3097265815472802,0.000373877360970182,0.0 ± 0.0,0.0 ± 0.0
Delivery_Mode,Caesarean_vs_Vaginal,comp_khichuri,0.005457154020153907,,2.758888795523597,1.464087306136654,0.44073419541800685,0.041141097891055675,0.06 ± 0.11,0.02 ± 0.04
Delivery_Mode,Caesarean_vs_Vaginal,comp_none,0.599509290958588,,0.9662068104034169,-0.04959607310411585,-0.014929905671482491,-0.0006864531030155926,0.02 ± 0.07,0.02 ± 0.05
Delivery_Mode,Caesarean_vs_Vaginal,comp_others,0.5923669683832994,,0.49243929097196654,-1.0219822180590057,-0.3076473026709684,-0.03110222725481893,0.03 ± 0.04,0.06 ± 0.15
Delivery_Mode,Caesarean_vs_Vaginal,comp_rice.and.curry,0.7624951640368468,,0.9701518803316077,-0.04371747145502418,-0.01316027024254615,-0.020909912120183116,0.68 ± 0.3,0.7 ± 0.28
Delivery_Mode,Caesarean_vs_Vaginal,comp_suji,0.8041374814580832,,0.9803809719221402,-0.0285856114781702,-0.008605126499325827,-0.0029279189629460856,0.15 ± 0.24,0.15 ± 0.25
Delivery_Mode,Caesarean_vs_Vaginal,comp_tea.drinks.juice,0.9017347649336752,,1.0232743539731208,0.03319300339290354,0.009992089667440265,7.75997949995777e-05,0.0 ± 0.01,0.0 ± 0.01
Delivery_Mode,Caesarean_vs_Vaginal,cough,0.6510943593303942,,1.0483180128520022,0.06807643249410927,0.02049304817852102,0.0020396237544568763,0.04 ± 0.05,0.04 ± 0.05
Delivery_Mode,Caesarean_vs_Vaginal,days_to_recovery,,,0.9788154726068633,-0.030891187915542878,-0.0092991741642711,-1.1126482213438749,51.41 ± 25.77,52.52 ± 19.46
Delivery_Mode,Caesarean_vs_Vaginal,diarrhoea,0.8764687795126478,,1.0891082162974868,0.12314731067474148,0.037071034398448374,0.002445858575023701,0.03 ± 0.08,0.03 ± 0.05
Delivery_Mode,Caesarean_vs_Vaginal,fail_child.is.sick,0.8826225058422051,,0.7511829661960139,-0.4127637460372649,-0.1242542686798465,-0.001712542063004507,0.01 ± 0.01,0.01 ± 0.02
Delivery_Mode,Caesarean_vs_Vaginal,fail_child.or.parents.not.at.home,0.8917216331320248,,0.9023580177831388,-0.14822814699219164,-0.04462111844633942,-0.0029499153321147498,0.03 ± 0.07,0.03 ± 0.08
Delivery_Mode,Caesarean_vs_Vaginal,fail_child.refused.to.take,0.1647318574984854,,0.9232093936119715,-0.11527019147539126,-0.03469978524002332,-0.0011835445137293593,0.01 ± 0.03,0.02 ± 0.05
Delivery_Mode,Caesarean_vs_Vaginal,fail_child.vomiting,0.6588753956942459,,0.08309288768011844,-3.5891311947014883,-1.0804361479784488,-0.0005673088461229161,0.0 ± 0.0,0.0 ± 0.0
Delivery_Mode,Caesarean_vs_Vaginal,fail_no.failure,0.8178257659309501,,0.9982717944807864,-0.002495430462183114,-0.0007511994212107495,-0.0016262341359549737,0.94 ± 0.13,0.94 ± 0.11
Delivery_Mode,Caesarean_vs_Vaginal,fail_other,0.23070669881406658,,1.2161373157246327,0.282306134645319,0.08498261448819566,0.00015002504811288838,0.0 ± 0.0,0.0 ± 0.0
Delivery_Mode,Caesarean_vs_Vaginal,fail_parents.refused.to.feed,0.8451230104252772,,2.5217642963155376,1.3344334364797779,0.40170449159737903,0.007889519842813605,0.01 ± 0.09,0.01 ± 0.03
Delivery_Mode,Caesarean_vs_Vaginal,fever,0.573756154784776,,0.6743932543976476,-0.5683379890577418,-0.17108678238172778,-0.00020365871760862493,0.0 ± 0.0,0.0 ± 0.0
Delivery_Mode,Caesarean_vs_Vaginal,ors,0.6187998233839698,,0.9175233743822342,-0.12418318306144606,-0.03738286305852649,-0.0007478943627202209,0.01 ± 0.01,0.01 ± 0.01
Delivery_Mode,Caesarean_vs_Vaginal,rash,0.07925121427111373,,2.6489074957890533,1.4053974633011148,0.42306679228370475,0.0031820707584749026,0.01 ± 0.02,0.0 ± 0.01
Delivery_Mode,Caesarean_vs_Vaginal,zinc,0.22383600967312645,,1.2163609237062403,0.2825713748184446,0.08506245973636156,0.0005676631042182919,0.0 ± 0.01,0.0 ± 0.01
Supplementation,True_vs_False,antibiotic,0.10282125461870958,,0.7041935419324289,-0.5059560983946128,-0.15230796210589512,-0.017225791082356452,0.04 ± 0.04,0.06 ± 0.05
Supplementation,True_vs_False,base_temp,0.3690414353937089,,1.0013668125623896,0.001970547327731071,0.0005931938535225541,0.04944444444443974,36.22 ± 0.23,36.17 ± 0.21
Supplementation,True_vs_False,comp_cookies.ruti.bread,0.21871111833955503,,0.48352621525087797,-1.0483339847360995,-0.31557997487951217,-0.04458816825644202,0.04 ± 0.06,0.09 ± 0.11
Supplementation,True_vs_False,comp_halwa,0.06193435882349726,,0.11035567340774734,-3.179767294116032,-0.9572053347602183,-0.002132864475803911,0.0 ± 0.0,0.0 ± 0.01
Supplementation,True_vs_False,comp_khichuri,0.09097368631088569,,4.48620850254134,2.1654966731642933,0.6518794541330128,0.03203586011631919,0.04 ± 0.08,0.01 ± 0.02
Supplementation,True_vs_False,comp_none,0.9045877477702707,,1.237992754997213,0.3080028716118087,0.09271810310579652,0.003938974363123578,0.02 ± 0.06,0.02 ± 0.05
Supplementation,True_vs_False,comp_others,0.5522547141892664,,1.376483892935713,0.46098772819157224,0.13877113381865752,0.014185462633263105,0.05 ± 0.13,0.04 ± 0.04
Supplementation,True_vs_False,comp_rice.and.curry,0.07796111437469072,,1.1170457017868498,0.15968821213497283,0.048070941806579774,0.07345048564850942,0.7 ± 0.29,0.63 ± 0.22
Supplementation,True_vs_False,comp_suji,0.02900382117365695,,0.6634862490731209,-0.5918615292159217,-0.1781680735735462,-0.07133738677267129,0.14 ± 0.24,0.21 ± 0.27
Supplementation,True_vs_False,comp_tea.drinks.juice,0.6205976394719925,,0.3330817858923994,-1.5860516304613121,-0.4774491154406191,-0.005552363256297928,0.0 ± 0.01,0.01 ± 0.02
Supplementation,True_vs_False,cough,0.13575908551520297,,0.7625241851160715,-0.3911449983819451,-0.11774637716690486,-0.012942261666809701,0.04 ± 0.05,0.05 ± 0.04
Supplementation,True_vs_False,days_to_recovery,,,1.4483835005574135,0.5344436473785525,0.16088356885300797,16.758333333333333,54.13 ± 21.73,37.38 ± 12.78
Supplementation,True_vs_False,diarrhoea,0.6474002596195625,,1.2557645811069744,0.3285660267267192,0.09890822960087581,0.005892451860232739,0.03 ± 0.06,0.02 ± 0.03
Supplementation,True_vs_False,fail_child.is.sick,0.10111751224941166,,0.2014930308884676,-2.311198154280626,-0.6957399703616983,-0.017531927308562248,0.0 ± 0.01,0.02 ± 0.04
Supplementation,True_vs_False,fail_child.or.parents.not.at.home,0.80635154166476,,1.9307104243838595,0.9491317993827364,0.2857171414527318,0.014821603901173548,0.03 ± 0.08,0.02 ± 0.02
Supplementation,True_vs_False,fail_child.refused.to.take,0.9887468388415595,,0.5940122889946435,-0.7514353169114292,-0.22620457019160986,-0.009557905676040264,0.01 ± 0.04,0.02 ± 0.05
Supplementation,True_vs_False,fail_child.vomiting,0.36710901141678043,,2.637379148258483,1.3991049872026664,0.42117256823107313,0.0002788452227960555,0.0 ± 0.0,0.0 ± 0.0
Supplementation,True_vs_False,fail_no.failure,0.798279207790947,,1.0282091339923396,0.040133733293973066,0.01208145755946409,0.025875980451468217,0.94 ± 0.11,0.92 ± 0.13
Supplementation,True_vs_False,fail_other,0.7525402852376738,,1.1422032191758735,0.19181935579210535,0.05774337984236514,9.421591376493376e-05,0.0 ± 0.0,0.0 ± 0.0
Supplementation,True_vs_False,fail_parents.refused.to.feed,0.07849157677256097,,0.31644286654515547,-1.6599830489225498,-0.4997046900194374,-0.013980812504600232,0.01 ± 0.06,0.02 ± 0.06
Supplementation,True_vs_False,fever,0.8655372173247009,,1.4919600893185347,0.5772089432926452,0.1737572056965961,0.00018928722444896072,0.0 ± 0.0,0.0 ± 0.0
Supplementation,True_vs_False,ors,0.2915288697668754,,0.49005318397667086,-1.028989765872363,-0.30975678475883844,-0.008252923816464162,0.01 ± 0.01,0.02 ± 0.02
Supplementation,True_vs_False,rash,0.6961621729331537,,2.0858287042434536,1.0606206834158194,0.31927863972979287,0.0016786221134505637,0.0 ± 0.02,0.0 ± 0.01
Supplementation,True_vs_False,zinc,0.9893265384070011,,1.2269117358187829,0.29503146507515654,0.08881332065231239,0.0005325241980398548,0.0 ± 0.01,0.0 ± 0.01
BF,3_vs_6,antibiotic,0.19492511081765918,,1.1805666786756233,0.23947952761313704,0.07209052115899489,0.007658390612195323,0.05 ± 0.03,0.04 ± 0.05
BF,3_vs_6,base_temp,0.09667437507277592,,1.0041615603469554,0.005991404308557956,0.00180359241302636,0.1506269592476457,36.35 ± 0.32,36.19 ± 0.22
